#,"Old URL (live, 404 on staging)",Old type,Recommended 301 target (production),Target type,Match method,Confidence,Target verified 200
1,https://safetynigeria.com/116-country-flags-suppliers,category,https://safetynigeria.com/281-traffic-control-flags-suppliers,category,closest-category,0.25,Yes
2,https://safetynigeria.com/325-protective-sleeves-suppliers,category,https://safetynigeria.com/711-arm-protective-sleeves-suppliers,category,closest-category,0.67,Yes
3,https://safetynigeria.com/581-lab-furniture-equipment,category,https://safetynigeria.com/593-lab-equipment-suppliers,category,closest-category,0.5,Yes
4,https://safetynigeria.com/582-lab-instruments-equipment,category,https://safetynigeria.com/593-lab-equipment-suppliers,category,closest-category,0.5,Yes
5,https://safetynigeria.com/592-lab-utensils-equipment,category,https://safetynigeria.com/593-lab-equipment-suppliers,category,closest-category,0.5,Yes
6,https://safetynigeria.com/707-ratchet-straps-suppliers,category,https://safetynigeria.com/705-ratchet-straps-suppliers,category,closest-category,1.0,Yes
7,https://safetynigeria.com/708-vehicle-recovery-suppliers,category,https://safetynigeria.com/709-vehicle-recovery-rope,category,closest-category,0.67,Yes
8,https://safetynigeria.com/727-pavement-quality-testing-instruments,category,https://safetynigeria.com/713-test-instruments-suppliers,category,closest-category,0.2,Yes
9,https://safetynigeria.com/adhesive-primers-activators-accelerators-removers/959-abro-11-lacquer-thinner-lq-11-usgl.html,product,https://safetynigeria.com/512-adhesive-primers-activators-accelerators-removers,category,parent-category,1.0,Yes
10,https://safetynigeria.com/adhesive-remover-cleaning-chemical/703-seaclean-2-and-ultra-fx-solution.html,product,https://safetynigeria.com/457-adhesive-remover-cleaning-chemical,category,parent-category,1.0,Yes
11,https://safetynigeria.com/cleaning-chemicals-suppliers-in-nigeria/724-carbon-remover-25-ltr.html,product,https://safetynigeria.com/68-cleaning-chemicals-suppliers-in-nigeria,category,parent-category,1.0,Yes
12,https://safetynigeria.com/safety-foot-boots-shoes-suppliers/1364-safety-jogger-x2020p-eh-safety-boot.html,product,https://safetynigeria.com/57-safety-foot-boots-shoes-suppliers,category,parent-category,1.0,Yes
13,https://safetynigeria.com/safety-work-boots-shoes-suppliers/1584-safety-jogger-morris-s1p-boot.html,product,https://safetynigeria.com/308-safety-work-boots-shoes-suppliers,category,parent-category,1.0,Yes
14,https://safetynigeria.com/safety-work-boots-shoes-suppliers/1586-safety-jogger-cador-s1p-boot.html,product,https://safetynigeria.com/308-safety-work-boots-shoes-suppliers,category,parent-category,1.0,Yes
15,https://safetynigeria.com/safety-work-boots-shoes-suppliers/1587-safety-jogger-ligero-s1p-boot.html,product,https://safetynigeria.com/308-safety-work-boots-shoes-suppliers,category,parent-category,1.0,Yes
16,https://safetynigeria.com/safety-work-boots-shoes-suppliers/1589-safety-jogger-desert-boot.html,product,https://safetynigeria.com/308-safety-work-boots-shoes-suppliers,category,parent-category,1.0,Yes
17,https://safetynigeria.com/safety-work-boots-shoes-suppliers/1590-safety-jogger-x2000-s3-boot.html,product,https://safetynigeria.com/308-safety-work-boots-shoes-suppliers,category,parent-category,1.0,Yes
18,https://safetynigeria.com/safety-work-boots-shoes-suppliers/187-safety-jogger-x2020p31-s3-src-boot.html,product,https://safetynigeria.com/308-safety-work-boots-shoes-suppliers,category,parent-category,1.0,Yes
19,https://safetynigeria.com/safety-work-boots-shoes-suppliers/253-safety-jogger-aura-s3-esd-src-metal-free-boot.html,product,https://safetynigeria.com/308-safety-work-boots-shoes-suppliers,category,parent-category,1.0,Yes
20,https://safetynigeria.com/safety-work-boots-shoes-suppliers/532-safety-jogger-climber-s3.html,product,https://safetynigeria.com/308-safety-work-boots-shoes-suppliers,category,parent-category,1.0,Yes
21,https://safetynigeria.com/wipers-cleaner-suppliers/8-n-swipes-industrial-wipers.html,product,https://safetynigeria.com/73-wipers-cleaner-suppliers,category,parent-category,1.0,Yes
